Logiciel Proprietaire ID,Logiciel Proprietaire,Alternative OSS,Licence,Maturite,Communaute,Pays Origine,Compatibilite Formats,Fonctionnalites Cles,Support Commercial,URL
virtualisation_citrix_hypervisor_(ancien_xenserver),Citrix Hypervisor (ancien XenServer),XCP-ng,GPL-2.0,A,forte,FR,Xen,"Fork Citrix, 100% libre, francais",Vates,https://xcp-ng.org
virtualisation_citrix_hypervisor_(ancien_xenserver),Citrix Hypervisor (ancien XenServer),Proxmox VE,AGPL-3.0,A,tres forte,AT,KVM/LXC,Hyperviseur complet,Proxmox,https://www.proxmox.com
virtualisation_citrix_hypervisor_(ancien_xenserver),Citrix Hypervisor (ancien XenServer),KVM / QEMU,GPL-2.0,A,tres forte,US,KVM,Natif Linux,Red Hat,https://www.linux-kvm.org
ia_ml_openai_gpt-4___chatgpt_enterprise,OpenAI GPT-4 / ChatGPT Enterprise,Mistral AI (open-weights),Apache-2.0,A,tres forte,FR,API OpenAI-compatible,"LLM francais, souverainete europeenne, self-hostable",Mistral AI,https://mistral.ai
ia_ml_openai_gpt-4___chatgpt_enterprise,OpenAI GPT-4 / ChatGPT Enterprise,Ollama,MIT,A,tres forte,US,GGUF,"Run LLMs localement, tres facile, multi-modeles",Ollama Inc.,https://ollama.com
ia_ml_openai_gpt-4___chatgpt_enterprise,OpenAI GPT-4 / ChatGPT Enterprise,llama.cpp,MIT,A,tres forte,BG,GGUF,"Inference rapide CPU/GPU, tres optimise",Communautaire,https://github.com/ggerganov/llama.cpp
ia_ml_openai_gpt-4___chatgpt_enterprise,OpenAI GPT-4 / ChatGPT Enterprise,vLLM,Apache-2.0,A,forte,US,API OpenAI-compatible,"Inference haute performance, PagedAttention",Anyscale,https://github.com/vllm-project/vllm
ia_ml_openai_gpt-4___chatgpt_enterprise,OpenAI GPT-4 / ChatGPT Enterprise,Text Generation Inference (HuggingFace),Apache-2.0,A,forte,FR,API,"Production-ready, support multiple GPUs",HuggingFace,https://github.com/huggingface/text-generation-inference
ia_ml_midjourney,Midjourney,Stable Diffusion,CreativeML Open RAIL-M,A,tres forte,UK,Checkpoint/Safetensors,"Generation image locale, tres personnalisable, LoRA",Stability AI,https://stability.ai
ia_ml_midjourney,Midjourney,ComfyUI,GPL-3.0,A,tres forte,US,Stable Diffusion,"Interface node-based, tres puissante, workflows",Communautaire,https://github.com/comfyanonymous/ComfyUI
ia_ml_midjourney,Midjourney,InvokeAI,Apache-2.0,A,forte,US,Stable Diffusion,"UI moderne, canvas, inpainting",Invoke AI,https://invoke.ai
ia_ml_midjourney,Midjourney,Fooocus,GPL-3.0,B,forte,US,Stable Diffusion,"UI simplifiee, 1-clic, tres accessible",Communautaire,https://github.com/lllyasviel/Fooocus
ia_ml_github_copilot,GitHub Copilot,Continue.dev,Apache-2.0,B,forte,US,VS Code / JetBrains,"Open-source, multi-LLM, local ou cloud, controle total",Continue,https://www.continue.dev
ia_ml_github_copilot,GitHub Copilot,Tabby,Apache-2.0,B,moyenne,US,VS Code / Vim,"Self-hosted, open-source, compatible avec modeles locaux",TabbyML,https://tabby.tabbyml.com
ia_ml_github_copilot,GitHub Copilot,Codeium (partiellement ouvert),Proprietaire (gratuit),A,forte,US,Multiple IDE,"Gratuit, mais proprietaire - attention",Codeium,https://codeium.com
ia_ml_github_copilot,GitHub Copilot,Aider,Apache-2.0,B,forte,US,CLI,"Assistant CLI, multi-fichiers, git-aware",Communautaire,https://aider.chat
ia_ml_anthropic_claude,Anthropic Claude,Mistral AI,Apache-2.0,A,tres forte,FR,API,"Souverainete EU, self-hostable",Mistral AI,https://mistral.ai
ia_ml_anthropic_claude,Anthropic Claude,Ollama,MIT,A,tres forte,US,GGUF,"Local, facile",Ollama Inc.,https://ollama.com
ia_ml_anthropic_claude,Anthropic Claude,llama.cpp,MIT,A,tres forte,BG,GGUF,Inference rapide,Communautaire,https://github.com/ggerganov/llama.cpp
cms_wordpresscom_(payant),WordPress.com (payant),WordPress.org (self-hosted),GPL-2.0,A,tres forte,US,PHP/MySQL,"CMS le plus populaire, 60% du web, infini de plugins",Multiple,https://wordpress.org
cms_wordpresscom_(payant),WordPress.com (payant),Drupal,GPL-2.0,A,tres forte,BE,PHP/MySQL,"Enterprise, tres securise, gouvernemental","Acquia, etc.",https://www.drupal.org
cms_wordpresscom_(payant),WordPress.com (payant),Joomla,GPL-2.0,A,forte,NL,PHP/MySQL,"Mature, tres flexible, communautaire",Multiple,https://www.joomla.org
cms_wordpresscom_(payant),WordPress.com (payant),Ghost,MIT,A,forte,UK,Node.js/MySQL,"Blogging moderne, rapide, newsletter",Ghost Foundation,https://ghost.org
cms_wordpresscom_(payant),WordPress.com (payant),Grav,MIT,A,moyenne,US,PHP,"Flat-file CMS, tres rapide, pas de DB",Trilby Media,https://getgrav.org
cms_webflow,Webflow,WordPress + Elementor (gratuit),GPL-2.0,A,tres forte,US,PHP/MySQL,"Builder visuel, tres complet, self-hosted",Multiple,https://wordpress.org
cms_webflow,Webflow,Strapi,MIT,A,forte,FR,Node.js,"Headless CMS, API-first, 100% JS, francais",Strapi,https://strapi.io
cms_webflow,Webflow,Directus,GPL-3.0,A,forte,US,Node.js/SQL,"Headless CMS, data platform, tres elegant",Directus,https://directus.io
cms_webflow,Webflow,PocketBase,MIT,B,forte,BG,Go/SQLite,"Backend as a service, 1 fichier, tres leger",Communautaire,https://pocketbase.io
cms_shopify,Shopify,WooCommerce (WordPress),GPL-3.0,A,tres forte,US,PHP/MySQL,"E-commerce complet, self-hosted",Automattic,https://woocommerce.com
cms_shopify,Shopify,PrestaShop,OSL-3.0,A,tres forte,FR,PHP/MySQL,"E-commerce francais, tres populaire",PrestaShop SA,https://www.prestashop.com
cms_shopify,Shopify,Magento (Adobe Commerce),OSL-3.0,A,forte,US,PHP/MySQL,"E-commerce enterprise, mais attention Adobe",Adobe,https://magento.com
cms_shopify,Shopify,Odoo eCommerce,LGPL-3.0,A,tres forte,BE,API,E-commerce integre ERP,Odoo SA,https://www.odoo.com
rh_paie_workday,Workday,Odoo RH,LGPL-3.0,A,tres forte,BE,API,"RH integre ERP, recrutement, presence, evaluation",Odoo SA,https://www.odoo.com
rh_paie_workday,Workday,Dolibarr RH,GPL-3.0,A,forte,FR,API,"Modules RH, paie, conges, francais",DoliCloud,https://www.dolibarr.org
rh_paie_workday,Workday,OrangeHRM,GPL-2.0,A,forte,LK,PHP/MySQL,"RH complete, tres mature",OrangeHRM,https://www.orangehrm.com
rh_paie_workday,Workday,Sentrifugo,GPL-3.0,B,moyenne,IN,PHP/MySQL,"RH open source, timesheet, conges",Communautaire,https://www.sentrifugo.com
rh_paie_sap_successfactors,SAP SuccessFactors,Odoo RH,LGPL-3.0,A,tres forte,BE,API,Alternative complete,Odoo SA,https://www.odoo.com
rh_paie_sap_successfactors,SAP SuccessFactors,OrangeHRM,GPL-2.0,A,forte,LK,PHP/MySQL,"Mature, complete",OrangeHRM,https://www.orangehrm.com
rh_paie_sap_successfactors,SAP SuccessFactors,Dolibarr RH,GPL-3.0,A,forte,FR,API,"Francais, modulaire",DoliCloud,https://www.dolibarr.org
rh_paie_bamboohr,BambooHR,Odoo RH,LGPL-3.0,A,tres forte,BE,API,RH complete,Odoo SA,https://www.odoo.com
rh_paie_bamboohr,BambooHR,OrangeHRM,GPL-2.0,A,forte,LK,PHP/MySQL,"Recrutement, onboarding",OrangeHRM,https://www.orangehrm.com
comptabilite_quickbooks,QuickBooks,Dolibarr Comptabilite,GPL-3.0,A,forte,FR,API,"Compta francaise, facturation, tresse, conformite",DoliCloud,https://www.dolibarr.org
comptabilite_quickbooks,QuickBooks,Odoo Comptabilite,LGPL-3.0,A,tres forte,BE,API,"Compta complete, multi-pays, rapports fiscaux",Odoo SA,https://www.odoo.com
comptabilite_quickbooks,QuickBooks,GnuCash,GPL-2.0,A,forte,US,XML/OFX/QIF,"Compta personnelle/TPE, double-partie, OFX",Communautaire,https://www.gnucash.org
comptabilite_quickbooks,QuickBooks,Ledger / hledger,BSD-3,A,moyenne,US,Texte,"Compta texte, tres puissant, scriptable",Communautaire,https://www.ledger-cli.org
comptabilite_quickbooks,QuickBooks,Akaunting,GPL-3.0,B,forte,TR,PHP/MySQL,"Compta cloud, facturation, multi-devises",Akaunting,https://akaunting.com
comptabilite_sage_intacct,Sage Intacct,Odoo Comptabilite,LGPL-3.0,A,tres forte,BE,API,"Alternative complete, multi-pays",Odoo SA,https://www.odoo.com
comptabilite_sage_intacct,Sage Intacct,ERPNext Comptabilite,GPL-3.0,A,forte,IN,API,"Compta complete, rapports fiscaux",Frappe Technologies,https://erpnext.com
comptabilite_sage_intacct,Sage Intacct,Dolibarr,GPL-3.0,A,forte,FR,API,"Francais, conformite fiscale FR",DoliCloud,https://www.dolibarr.org
comptabilite_xero,Xero,Dolibarr,GPL-3.0,A,forte,FR,API,"Compta FR, banque",DoliCloud,https://www.dolibarr.org
comptabilite_xero,Xero,Odoo Comptabilite,LGPL-3.0,A,tres forte,BE,API,"Multi-pays, banque",Odoo SA,https://www.odoo.com
signature_electronique_docusign,DocuSign,LibreSign,AGPL-3.0,B,moyenne,BR,PDF,"Signature PDF, Nextcloud integration, PAdES",LibreCode,https://libresign.coop
signature_electronique_docusign,DocuSign,Docspell,GPL-3.0,B,moyenne,DE,PDF,Gestion documentaire + workflow signature,Communautaire,https://docspell.org
signature_electronique_docusign,DocuSign,SignServer,LGPL-3.0,A,moyenne,SE,PDF/XML,"Signature centralisee, PKI, EJBCA",Keyfactor,https://www.signserver.org
signature_electronique_docusign,DocuSign,OpenSign,AGPL-3.0,C,moyenne,IN,PDF,Alternative DocuSign open source,OpenSignLabs,https://www.opensignlabs.com
signature_electronique_adobe_sign,Adobe Sign,LibreSign,AGPL-3.0,B,moyenne,BR,PDF,"Signature PDF, Nextcloud",LibreCode,https://libresign.coop
signature_electronique_adobe_sign,Adobe Sign,SignServer,LGPL-3.0,A,moyenne,SE,PDF/XML,Signature centralisee,Keyfactor,https://www.signserver.org
signature_electronique_hellosign_(dropbox),HelloSign (Dropbox),LibreSign,AGPL-3.0,B,moyenne,BR,PDF,Signature PDF,LibreCode,https://libresign.coop
signature_electronique_hellosign_(dropbox),HelloSign (Dropbox),SignServer,LGPL-3.0,A,moyenne,SE,PDF/XML,Signature centralisee,Keyfactor,https://www.signserver.org
veille_veo_google_analytics,Google Analytics,Matomo,GPL-3.0,A,tres forte,NZ,PHP/MySQL,"Analytics 100% souverain, RGPD natif, self-hosted",InnoCraft,https://matomo.org
veille_veo_google_analytics,Google Analytics,Plausible Analytics,AGPL-3.0,A,forte,EE,Elixir/PostgreSQL,"Leger, RGPD natif, pas de cookies, tres rapide",Plausible,https://plausible.io
veille_veo_google_analytics,Google Analytics,Umami,MIT,A,forte,US,Node.js/PostgreSQL,"Simple, privacy-focused, self-hosted",Umami,https://umami.is
veille_veo_google_analytics,Google Analytics,GoAccess,MIT,A,forte,US,Logs,"Analytics temps reel depuis logs, tres leger",Communautaire,https://goaccess.io
veille_veo_semrush,SEMrush,Matomo SEO,GPL-3.0,A,tres forte,NZ,PHP/MySQL,"SEO integre, mots-cles, referrers",InnoCraft,https://matomo.org
veille_veo_semrush,SEMrush,Serposcope,MIT,B,moyenne,FR,Java,"Tracking positions SEO, self-hosted",Communautaire,https://www.serposcope.com
veille_veo_semrush,SEMrush,SEO Powersuite (partiel),Proprietaire,B,faible,UA,Desktop,"Outils SEO desktop, pas de cloud",Link-Assistant,https://www.link-assistant.com
veille_veo_ahrefs,Ahrefs,Matomo,GPL-3.0,A,tres forte,NZ,PHP/MySQL,SEO integre,InnoCraft,https://matomo.org
veille_veo_ahrefs,Ahrefs,Serposcope,MIT,B,moyenne,FR,Java,Tracking positions,Communautaire,https://www.serposcope.com
telephonie_ringcentral,RingCentral,Asterisk,GPL-2.0,A,tres forte,US,SIP/IAX,"PBX complet, IVR, conference, voicemail, tres mature",Sangoma,https://www.asterisk.org
telephonie_ringcentral,RingCentral,FreePBX,GPL-2.0,A,tres forte,US,SIP,"Interface web pour Asterisk, facile a gerer, modules riches",Sangoma,https://www.freepbx.org
telephonie_ringcentral,RingCentral,FusionPBX,MPL-1.1,A,forte,US,SIP,"GUI pour FreeSWITCH, tres complet, multi-tenant",FusionPBX,https://www.fusionpbx.com
telephonie_ringcentral,RingCentral,Wazo,GPL-3.0,A,moyenne,CA,SIP,"Platforme API-first, programmable, WebRTC",Wazo,https://wazo.io
telephonie_twilio,Twilio,FreeSWITCH,MPL-1.1,A,tres forte,US,SIP/WebRTC,"Soft-switch complet, programmable, WebRTC, tres scalable",SignalWire,https://freeswitch.com
telephonie_twilio,Twilio,Kamailio,GPL-2.0,A,tres forte,DE,SIP,"SIP router haute performance, 5000+ calls/sec, load balancing",Asipto,https://www.kamailio.org
telephonie_twilio,Twilio,OpenSIPS,GPL-2.0,A,forte,RO,SIP,"SIP server, clustering, haute disponibilite",OpenSIPS Solutions,https://www.opensips.org
telephonie_twilio,Twilio,Janus Gateway,GPL-3.0,A,forte,IT,WebRTC,"WebRTC server, SFU, MCU, tres flexible",Meetecho,https://janus.conf.meetecho.com
telephonie_avaya_cloud_office,Avaya Cloud Office,Asterisk,GPL-2.0,A,tres forte,US,SIP,"PBX complet, contact center possible, IVR avance",Sangoma,https://www.asterisk.org
telephonie_avaya_cloud_office,Avaya Cloud Office,FreePBX,GPL-2.0,A,tres forte,US,SIP,"Interface web, modules contact center, reporting",Sangoma,https://www.freepbx.org
ged_sharepoint,SharePoint,Alfresco,LGPL-3.0,A,tres forte,UK,CMIS,"GED enterprise, workflow BPM, records management, tres mature",Hyland,https://www.alfresco.com
ged_sharepoint,SharePoint,Nuxeo,Apache-2.0,A,forte,FR,CMIS,"Platforme documentaire moderne, API-first, AI integration, francais",Hyland,https://www.nuxeo.com
ged_sharepoint,SharePoint,Mayan EDMS,Apache-2.0,A,forte,US,Multiple,"GED legere, OCR, workflow, digital signature, tres accessible",Communautaire,https://www.mayan-edms.com
ged_sharepoint,SharePoint,Papermerge,Apache-2.0,B,moyenne,DE,PDF,"GED open source, OCR, tags, folders, automation",Papermerge,https://www.papermerge.com
ged_sharepoint,SharePoint,OpenKM,GPL-2.0,A,forte,ES,Multiple,"GED complete, workflow, records management, OCR",OpenKM,https://www.openkm.com
ged_docuware,DocuWare,Alfresco,LGPL-3.0,A,tres forte,UK,CMIS,"GED enterprise, alternative directe",Hyland,https://www.alfresco.com
ged_docuware,DocuWare,Nuxeo,Apache-2.0,A,forte,FR,CMIS,"Moderne, API-first, francais",Hyland,https://www.nuxeo.com
ged_docuware,DocuWare,Mayan EDMS,Apache-2.0,A,forte,US,Multiple,"Legere, OCR, workflow",Communautaire,https://www.mayan-edms.com
ged_m-files,M-Files,Alfresco,LGPL-3.0,A,tres forte,UK,CMIS,"Metadata, workflow, tres mature",Hyland,https://www.alfresco.com
ged_m-files,M-Files,Nuxeo,Apache-2.0,A,forte,FR,CMIS,"Metadata-driven, API-first, francais",Hyland,https://www.nuxeo.com
iaas_paas_amazon_aws,Amazon AWS,OpenStack,Apache-2.0,A,tres forte,US,API,"Cloud prive complet, compute, storage, network, identity","Canonical, Red Hat, SUSE, Mirantis",https://www.openstack.org
iaas_paas_amazon_aws,Amazon AWS,Apache CloudStack,Apache-2.0,A,forte,US,API,"IaaS complet, plus simple qu'OpenStack, tres scalable",Apache,https://cloudstack.apache.org
iaas_paas_amazon_aws,Amazon AWS,Proxmox VE + Ceph,AGPL-3.0,A,tres forte,AT,KVM/LXC,"Cloud prive hyper-converge, storage distribue, clustering",Proxmox,https://www.proxmox.com
iaas_paas_amazon_aws,Amazon AWS,oVirt + Gluster,GPL-2.0,A,forte,US,KVM,"Virtualisation + storage distribue, heritage Red Hat",Red Hat,https://www.ovirt.org
iaas_paas_amazon_aws,Amazon AWS,KubeVirt + Kubernetes,Apache-2.0,A,tres forte,US,K8s,"VMs sur Kubernetes, cloud natif, CNI/CSI",Red Hat,https://kubevirt.io
iaas_paas_microsoft_azure,Microsoft Azure,OpenStack,Apache-2.0,A,tres forte,US,API,"Alternative complete IaaS, multi-hypervisor","Canonical, Red Hat, SUSE",https://www.openstack.org
iaas_paas_microsoft_azure,Microsoft Azure,Apache CloudStack,Apache-2.0,A,forte,US,API,"IaaS plus simple, Xen/KVM/VMware",Apache,https://cloudstack.apache.org
iaas_paas_microsoft_azure,Microsoft Azure,Proxmox VE,AGPL-3.0,A,tres forte,AT,KVM/LXC,"Hyper-converge, Ceph, backup",Proxmox,https://www.proxmox.com
iaas_paas_google_cloud_platform,Google Cloud Platform,OpenStack,Apache-2.0,A,tres forte,US,API,Alternative IaaS,"Canonical, Red Hat, SUSE",https://www.openstack.org
iaas_paas_google_cloud_platform,Google Cloud Platform,Apache CloudStack,Apache-2.0,A,forte,US,API,IaaS simple,Apache,https://cloudstack.apache.org
iaas_paas_google_cloud_platform,Google Cloud Platform,Proxmox VE,AGPL-3.0,A,tres forte,AT,KVM/LXC,Cloud prive,Proxmox,https://www.proxmox.com
iaas_paas_heroku,Heroku,Dokku,MIT,A,forte,US,Docker,"Mini-Heroku self-hosted, Git push deploy, tres leger",Dokku,https://dokku.com
iaas_paas_heroku,Heroku,CapRover,Apache-2.0,A,forte,US,Docker,"PaaS open source, SSL auto, one-click apps",Communautaire,https://caprover.com
iaas_paas_heroku,Heroku,Coolify,Apache-2.0,B,forte,HU,Docker,"PaaS moderne, UI elegante, self-hosted, Git integration",Coolify,https://coolify.io
iaas_paas_heroku,Heroku,Portainer,Zlib,A,tres forte,NZ,Docker/K8s,"Container management, facile, self-hosted, multi-cluster",Portainer,https://www.portainer.io
mfa_auth_okta,Okta,Keycloak,Apache-2.0,A,tres forte,US,OIDC/SAML/LDAP,"IAM complet, SSO, MFA, federation, social login, tres mature",Red Hat,https://www.keycloak.org
mfa_auth_okta,Okta,Authentik,MIT,A,forte,US,OIDC/SAML/LDAP,"IAM moderne, UI belle, self-hosted, proxy provider, tres prometteur",Authentik,https://goauthentik.io
mfa_auth_okta,Okta,Authelia,Apache-2.0,A,forte,AU,OIDC/LDAP,"SSO + 2FA pour reverse proxy, tres leger, integration Traefik/Nginx",Communautaire,https://www.authelia.com
mfa_auth_okta,Okta,Dex,Apache-2.0,A,forte,US,OIDC,"Federation IDP, Kubernetes-native, connectors multiples",Communautaire,https://dexidp.io
mfa_auth_okta,Okta,Gluu Server,Apache-2.0,A,forte,US,OIDC/UMA/SAML,"IAM enterprise, FIDO2, UMA, tres complet",Gluu,https://www.gluu.org
mfa_auth_auth0,Auth0,Keycloak,Apache-2.0,A,tres forte,US,OIDC/SAML/LDAP,"Alternative directe, tres complete, self-hosted",Red Hat,https://www.keycloak.org
mfa_auth_auth0,Auth0,Authentik,MIT,A,forte,US,OIDC/SAML/LDAP,"Moderne, belle UI, self-hosted, proxy",Authentik,https://goauthentik.io
mfa_auth_auth0,Auth0,SuperTokens,MIT,B,forte,IN,OIDC,"Auth moderne, session management, self-hosted, multi-tenant",SuperTokens,https://supertokens.com
mfa_auth_microsoft_entra_id_(azure_ad),Microsoft Entra ID (Azure AD),Keycloak,Apache-2.0,A,tres forte,US,OIDC/SAML/LDAP,"Alternative complete, federation, social login",Red Hat,https://www.keycloak.org
mfa_auth_microsoft_entra_id_(azure_ad),Microsoft Entra ID (Azure AD),Authentik,MIT,A,forte,US,OIDC/SAML/LDAP,"Moderne, self-hosted, proxy provider",Authentik,https://goauthentik.io
mfa_auth_microsoft_entra_id_(azure_ad),Microsoft Entra ID (Azure AD),FreeIPA,GPL-3.0,A,forte,US,LDAP/Kerberos,"Identity management, DNS, PKI, certificats, tres complet",Red Hat,https://www.freeipa.org
backup_veeam,Veeam,BorgBackup,BSD-3,A,tres forte,CH,Deduplication,"Deduplication, chiffrement, compression, verification integrite, tres efficace",BorgBase,https://borgbackup.org
backup_veeam,Veeam,Restic,BSD-2,A,tres forte,DE,Multiple backends,"Backup moderne, chiffrement, dedup, S3 compatible, verifiable",Communautaire,https://restic.net
backup_veeam,Veeam,Kopia,Apache-2.0,A,forte,US,Multiple,"Backup moderne, GUI, cross-platform, dedup, policies",Kopia,https://kopia.io
backup_veeam,Veeam,Duplicati,LGPL-2.1,A,forte,US,Multiple,"Backup cloud, chiffrement, compression, GUI, scheduling",Duplicati,https://www.duplicati.com
backup_veeam,Veeam,UrBackup,AGPL-3.0,A,forte,DE,Image + File,"Backup client/serveur, image disque, file backup, web interface",Communautaire,https://www.urbackup.org
backup_acronis_cyber_backup,Acronis Cyber Backup,BorgBackup,BSD-3,A,tres forte,CH,Deduplication,"Deduplication, chiffrement, verification",BorgBase,https://borgbackup.org
backup_acronis_cyber_backup,Acronis Cyber Backup,Restic,BSD-2,A,tres forte,DE,Multiple,"Backup moderne, S3, verifiable",Communautaire,https://restic.net
backup_acronis_cyber_backup,Acronis Cyber Backup,UrBackup,AGPL-3.0,A,forte,DE,Image + File,"Image disque, complet",Communautaire,https://www.urbackup.org
backup_commvault,Commvault,BorgBackup,BSD-3,A,tres forte,CH,Deduplication,"Deduplication, chiffrement",BorgBase,https://borgbackup.org
backup_commvault,Commvault,Restic,BSD-2,A,tres forte,DE,Multiple,Backup moderne,Communautaire,https://restic.net
backup_commvault,Commvault,Kopia,Apache-2.0,A,forte,US,Multiple,"GUI, cross-platform",Kopia,https://kopia.io
vpn_reseau_cisco_anyconnect___umbrella,Cisco AnyConnect / Umbrella,WireGuard,GPL-2.0,A,tres forte,US,UDP,"VPN moderne, tres rapide, simple, kernel integration, audit code",Multiple,https://www.wireguard.com
vpn_reseau_cisco_anyconnect___umbrella,Cisco AnyConnect / Umbrella,OpenVPN,GPL-2.0,A,tres forte,US,SSL/TLS,"VPN SSL tres mature, flexible, multi-platform",OpenVPN Inc.,https://openvpn.net
vpn_reseau_cisco_anyconnect___umbrella,Cisco AnyConnect / Umbrella,Tailscale,BSD-3 (client),A,tres forte,CA,WireGuard,"Mesh VPN, zero-config, NAT traversal, SSO integration",Tailscale Inc.,https://tailscale.com
vpn_reseau_cisco_anyconnect___umbrella,Cisco AnyConnect / Umbrella,Headscale,BSD-3,A,forte,ES,WireGuard,"Self-hosted Tailscale control server, 100% open, mesh network",Communautaire,https://github.com/juanfont/headscale
vpn_reseau_cisco_anyconnect___umbrella,Cisco AnyConnect / Umbrella,NetBird,BSD-2,B,forte,DE,WireGuard,"Zero-config VPN, self-hosted, ACL, activity monitoring",NetBird,https://netbird.io
vpn_reseau_zscaler,Zscaler,WireGuard + Headscale,GPL-2.0 / BSD-3,A,tres forte,US/ES,WireGuard,"Zero trust self-hosted, mesh network, controle total",Multiple,https://www.wireguard.com
vpn_reseau_zscaler,Zscaler,NetBird,BSD-2,B,forte,DE,WireGuard,"Zero trust, self-hosted, ACL, SSO",NetBird,https://netbird.io
vpn_reseau_zscaler,Zscaler,OpenZiti,Apache-2.0,B,moyenne,US,Overlay,"Zero trust overlay network, programmable, SDK",NetFoundry,https://openziti.io
vpn_reseau_palo_alto_prisma_access,Palo Alto Prisma Access,WireGuard,GPL-2.0,A,tres forte,US,UDP,"VPN rapide, simple, audite",Multiple,https://www.wireguard.com
vpn_reseau_palo_alto_prisma_access,Palo Alto Prisma Access,NetBird,BSD-2,B,forte,DE,WireGuard,"Zero trust, self-hosted",NetBird,https://netbird.io
vpn_reseau_palo_alto_prisma_access,Palo Alto Prisma Access,OpenZiti,Apache-2.0,B,moyenne,US,Overlay,"Overlay network, SDK",NetFoundry,https://openziti.io
formation_elearning_cornerstone_ondemand,Cornerstone OnDemand,Moodle,GPL-3.0,A,tres forte,AU,PHP/MySQL,"LMS le plus populaire, 400M+ users, plugins riches, tres complet",Moodle Pty Ltd,https://moodle.org
formation_elearning_cornerstone_ondemand,Cornerstone OnDemand,Canvas LMS (Open Source),AGPL-3.0,A,forte,US,Ruby/PostgreSQL,"LMS moderne, tres utilise universites US, mobile",Instructure,https://www.instructure.com/canvas
formation_elearning_cornerstone_ondemand,Cornerstone OnDemand,Chamilo,GPL-3.0,A,forte,BE,PHP/MySQL,"LMS europeen, 11M+ users, tres accessible, conformite",Chamilo Association,https://chamilo.org
formation_elearning_cornerstone_ondemand,Cornerstone OnDemand,ILIAS,GPL-3.0,A,forte,DE,PHP/MySQL,"LMS allemand, conformite, SCORM, tres mature",ILIAS open source,https://www.ilias.de
formation_elearning_cornerstone_ondemand,Cornerstone OnDemand,OpenEdX,AGPL-3.0,A,tres forte,US,Python/Django,"MOOC platform, MIT/Harvard heritage, xBlock, tres scalable","tCRIL, edX",https://open.edx.org
formation_elearning_docebo,Docebo,Moodle,GPL-3.0,A,tres forte,AU,PHP/MySQL,"LMS complet, enterprise possible, reporting",Moodle Pty Ltd,https://moodle.org
formation_elearning_docebo,Docebo,Chamilo,GPL-3.0,A,forte,BE,PHP/MySQL,"Europeen, accessible, conformite",Chamilo Association,https://chamilo.org
formation_elearning_docebo,Docebo,ILIAS,GPL-3.0,A,forte,DE,PHP/MySQL,"Allemand, conformite, SCORM",ILIAS,https://www.ilias.de
formation_elearning_sap_litmos,SAP Litmos,Moodle,GPL-3.0,A,tres forte,AU,PHP/MySQL,LMS complet,Moodle Pty Ltd,https://moodle.org
formation_elearning_sap_litmos,SAP Litmos,Chamilo,GPL-3.0,A,forte,BE,PHP/MySQL,Europeen,Chamilo Association,https://chamilo.org
helpdesk_servicenow,ServiceNow,GLPI,GPL-2.0,A,tres forte,FR,PHP/MySQL,"ITSM complet, inventaire, helpdesk, CMDB, francais, tres mature",Teclib,https://glpi-project.org
helpdesk_servicenow,ServiceNow,iTop,AGPL-3.0,A,forte,FR,PHP/MySQL,"ITSM, CMDB, service catalog, francais, ITIL",Combodo,https://www.itophub.io
helpdesk_servicenow,ServiceNow,Zammad,AGPL-3.0,A,forte,DE,Ruby/PostgreSQL,"Helpdesk moderne, omnichannel, tres elegant, self-hosted",Zammad,https://zammad.org
helpdesk_servicenow,ServiceNow,osTicket,GPL-2.0,A,forte,US,PHP/MySQL,"Helpdesk leger, tres populaire, facile a deployer",Enhancesoft,https://osticket.com
helpdesk_servicenow,ServiceNow,Request Tracker (RT),GPL-2.0,A,forte,US,Perl/PostgreSQL,"Ticketing tres mature, email integration, SLA",Best Practical,https://bestpractical.com
helpdesk_zendesk,Zendesk,Zammad,AGPL-3.0,A,forte,DE,Ruby/PostgreSQL,"Helpdesk moderne, omnichannel, self-hosted",Zammad,https://zammad.org
helpdesk_zendesk,Zendesk,osTicket,GPL-2.0,A,forte,US,PHP/MySQL,"Helpdesk leger, populaire",Enhancesoft,https://osticket.com
helpdesk_zendesk,Zendesk,GLPI,GPL-2.0,A,tres forte,FR,PHP/MySQL,"ITSM + helpdesk, inventaire",Teclib,https://glpi-project.org
helpdesk_freshdesk,Freshdesk,Zammad,AGPL-3.0,A,forte,DE,Ruby/PostgreSQL,Helpdesk moderne,Zammad,https://zammad.org
helpdesk_freshdesk,Freshdesk,osTicket,GPL-2.0,A,forte,US,PHP/MySQL,Leger,Enhancesoft,https://osticket.com
helpdesk_freshdesk,Freshdesk,GLPI,GPL-2.0,A,tres forte,FR,PHP/MySQL,ITSM complet,Teclib,https://glpi-project.org
cartographie_sig_arcgis,ArcGIS,QGIS,GPL-2.0,A,tres forte,CH,"Shapefile, GeoJSON, GeoPackage, PostGIS, WMS","SIG complet, plugins riches, standard industrie, tres mature",Multiple,https://qgis.org
cartographie_sig_arcgis,ArcGIS,GRASS GIS,GPL-2.0,A,tres forte,US,Multiple,"Analyse geospatiale avancee, modelisation, raster/vector",OSGeo,https://grass.osgeo.org
cartographie_sig_arcgis,ArcGIS,GeoServer,GPL-2.0,A,tres forte,IT,WMS/WFS/WCS,"Serveur cartographique, OGC compliant, styling SLD",GeoSolutions,https://geoserver.org
